
значение показателя за год
;2009;2010;2011;2012;2013;2014;2015;2016;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;
Муниципальный район;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;3;2;;;;;;;
Раздел Е Производство и распределение электроэнергии,  газа и воды;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;1;;;;
Всего;1;1;1;1;2;;;;
Раздел I Транспорт и связь;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;;;;;;;;
Раздел K Операции с недвижимым имуществом, аренда и  предоставление услуг;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;1;1;1;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;;;;;;;;
Городское поселение;;;;;;;;;;
Городские поселения Княжпогостского района;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;1;;;;
Всего;4;3;6;3;2;2;2;1;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;3;3;;1;1;2;1;2;
Раздел С Добыча полезных ископаемых;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;;1;;1;1;;;;
Раздел D Обрабатывающие производства;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;1;3;1;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;2;2;;;;;;;
Раздел Е Производство и распределение электроэнергии,  газа и воды;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;1;;;;
Всего;1;1;1;1;2;;;;
Раздел I Транспорт и связь;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;;;;;;;;
Раздел K Операции с недвижимым имуществом, аренда и  предоставление услуг;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;1;1;1;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;;;;;;;;
Емва;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;1;;;;
Всего;4;3;5;3;2;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;2;2;;1;1;;;;
Раздел С Добыча полезных ископаемых;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;;1;;1;1;;;;
Раздел D Обрабатывающие производства;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;1;2;1;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;1;;;;;;;
Раздел Е Производство и распределение электроэнергии,  газа и воды;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;1;;;;
Всего;1;1;1;1;2;;;;
Раздел I Транспорт и связь;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;;;;;;;;
Раздел K Операции с недвижимым имуществом, аренда и  предоставление услуг;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;1;1;1;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;;;;;;;;
Синдор;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;1;;;;;;;
Раздел D Обрабатывающие производства;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;1;;;;;;;
Сельское поселение;;;;;;;;;;
Сельские поселения Княжпогостского района;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;1;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;;;;;;;;
Раздел D Обрабатывающие производства;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;1;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;;;;;;;;
Чиньяворык;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;1;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;;;;;;;;
Раздел D Обрабатывающие производства;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;1;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;
Муниципальный район;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Всего;1;1;1;1;1;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;;;;;1;;;;
Раздел Е Производство и распределение электроэнергии,  газа и воды;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Всего;1;1;1;1;1;;;;
Раздел Н Гостиницы и рестораны;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;;;;;1;;;;
Сельское поселение;;;;;;;;;;
Сельские поселения Койгородского района;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Всего;1;1;1;1;1;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;;;;;1;;;;
Раздел Е Производство и распределение электроэнергии,  газа и воды;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Всего;1;1;1;1;1;;;;
Раздел Н Гостиницы и рестораны;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;;;;;1;;;;
Койгородок;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Всего;1;1;1;1;1;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;;;;;1;;;;
Раздел Е Производство и распределение электроэнергии,  газа и воды;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Всего;1;1;1;1;1;;;;
Раздел Н Гостиницы и рестораны;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;;;;;1;;;;
Муниципальный район Корткеросский;;;;;;;;;;
Муниципальный район;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;1;;;;;;
Всего;2;2;2;2;2;3;2;2;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;;1;;;;;;;
Всего;3;3;2;2;4;4;3;3;
Раздел А Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;;;;;;1;1;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;1;1;1;2;3;2;2;
Раздел Е Производство и распределение электроэнергии,  газа и воды;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;1;1;1;1;;;;
Раздел F Строительство;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;;;1;;;;;;
Всего;;1;1;1;1;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;;;;1;;;;
Раздел G Оптовая и розничная торговля; ремонт  автотранспортных средств, мотоциклов, бытовых изделий и  предметов личного пользования;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;1;1;1;1;;;;
Раздел K Операции с недвижимым имуществом, аренда и  предоставление услуг;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Всего;1;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;;1;;;;;;;
Всего;;1;;;;;;;
Сельское поселение;;;;;;;;;;
Сельские поселения Корткеросского района;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;1;;;;;;
Всего;2;2;2;2;2;3;2;2;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;;1;;;;;;;
Всего;3;3;2;2;4;4;3;3;
Раздел А Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;;;;;;1;1;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;1;1;1;2;3;2;2;
Раздел Е Производство и распределение электроэнергии,  газа и воды;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;1;1;1;1;;;;
Раздел F Строительство;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;;;1;;;;;;
Всего;;1;1;1;1;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;;;;1;;;;
Раздел G Оптовая и розничная торговля; ремонт  автотранспортных средств, мотоциклов, бытовых изделий и  предметов личного пользования;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;1;1;1;1;;;;
Раздел K Операции с недвижимым имуществом, аренда и  предоставление услуг;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Всего;1;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;;1;;;;;;;
Всего;;1;;;;;;;
Богородск;;;;;;;;;;
Всего;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;1;1;1;1;;;;
Раздел А Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;1;1;1;1;;;;
Корткерос;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;1;;;;;;
Всего;2;2;2;2;2;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;;1;;;;;;;
Всего;2;2;1;1;2;;;;
Раздел Е Производство и распределение электроэнергии,  газа и воды;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;1;1;1;1;;;;
Раздел F Строительство;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;;;1;;;;;;
Всего;;1;1;1;1;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;;;;1;;;;
Раздел G Оптовая и розничная торговля; ремонт  автотранспортных средств, мотоциклов, бытовых изделий и  предметов личного пользования;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;1;1;1;1;1;;;;
Раздел K Операции с недвижимым имуществом, аренда и  предоставление услуг;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Всего;1;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;;1;;;;;;;
Всего;;1;;;;;;;
Мордино;;;;;;;;;;
Всего;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;;;;;1;;;;
Раздел А Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;;;;;1;;;;
Муниципальный район Печора;;;;;;;;;;
Муниципальный район;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;;;1;;1;1;;;
Всего;4;6;9;5;6;6;3;6;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;6;5;3;4;3;5;6;6;
Всего;18;13;8;9;7;9;14;10;
Раздел С Добыча полезных ископаемых;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;;1;1;1;;;;
Раздел D Обрабатывающие производства;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;;;;;1;;;;
Всего;;1;1;;2;1;;1;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;;;;;
Всего;4;3;2;3;1;2;5;3;
Раздел Е Производство и распределение электроэнергии,  газа и воды;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;3;3;4;3;3;2;3;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;1;;;;
Всего;5;3;2;1;2;2;2;1;
Раздел F Строительство;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;2;2;1;1;1;;;;
Раздел G Оптовая и розничная торговля; ремонт  автотранспортных средств, мотоциклов, бытовых изделий и  предметов личного пользования;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;1;;;;
Всего;1;1;1;1;1;;;;
Раздел I Транспорт и связь;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;2;2;2;;;;1;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;2;1;1;1;1;;2;;
Раздел K Операции с недвижимым имуществом, аренда и  предоставление услуг;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;;;;;;;
Всего;2;2;1;1;;;;;
Раздел N Здравоохранение и предоставление социальных  услуг;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Всего;1;;;;;;;;
Раздел O Предоставление прочих коммунальных,  социальных и персональных услуг;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;;;1;;;;;;
Всего;;;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;;1;1;;;;
Всего;1;1;;1;1;;;;
Городское поселение;;;;;;;;;;
Городские поселения района Печора;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;;;1;;1;1;;;
Всего;4;6;9;5;6;6;3;6;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;6;5;3;4;3;5;6;6;
Всего;18;13;8;9;7;9;14;10;
Раздел С Добыча полезных ископаемых;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;;1;1;1;;;;
Раздел D Обрабатывающие производства;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;;;;;1;;;;
Всего;;1;1;;2;1;;1;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;;;;;
Всего;4;3;2;3;1;2;5;3;
Раздел Е Производство и распределение электроэнергии,  газа и воды;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;3;3;4;3;3;2;3;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;1;;;;
Всего;5;3;2;1;2;2;2;1;
Раздел F Строительство;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;2;2;1;1;1;;;;
Раздел G Оптовая и розничная торговля; ремонт  автотранспортных средств, мотоциклов, бытовых изделий и  предметов личного пользования;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;1;;;;
Всего;1;1;1;1;1;;;;
Раздел I Транспорт и связь;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;2;2;2;;;;1;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;2;1;1;1;1;;2;;
Раздел K Операции с недвижимым имуществом, аренда и  предоставление услуг;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;;;;;;;
Всего;2;2;1;1;;;;;
Раздел N Здравоохранение и предоставление социальных  услуг;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Всего;1;;;;;;;;
Раздел O Предоставление прочих коммунальных,  социальных и персональных услуг;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;;;1;;;;;;
Всего;;;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;;1;1;;;;
Всего;1;1;;1;1;;;;
Печора;;;;;;;;;;
Всего;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;;;1;;1;;;;
Всего;4;6;9;5;6;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;6;5;3;4;3;;;;
Всего;17;12;8;9;7;;;;
Раздел С Добыча полезных ископаемых;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;;1;1;1;;;;
Раздел D Обрабатывающие производства;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;;;;;1;;;;
Всего;;1;1;;2;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;;;;;
Всего;3;2;2;3;1;;;;
Раздел Е Производство и распределение электроэнергии,  газа и воды;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;1;3;3;4;3;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;1;;;;
Всего;5;3;2;1;2;;;;
Раздел F Строительство;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;;;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;2;2;1;1;1;;;;
Раздел G Оптовая и розничная торговля; ремонт  автотранспортных средств, мотоциклов, бытовых изделий и  предметов личного пользования;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;1;1;1;;;;
Всего;1;1;1;1;1;;;;
Раздел I Транспорт и связь;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Всего;2;2;2;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Всего;2;1;1;1;1;;;;
Раздел K Операции с недвижимым имуществом, аренда и  предоставление услуг;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;1;;;;;;;
Всего;2;2;1;1;;;;;
Раздел N Здравоохранение и предоставление социальных  услуг;;;;;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
Муниципальная собственность;1;;;;;;;;
Всего;1;;;;;;;;
Раздел O Предоставление прочих коммунальных,  социальных и персональных услуг;;;;;;;;;;
Количество убыточных организаций, единица;;;;;;;;;;
Муниципальная собственность;;;1;;;;;;
Всего;;;1;;;;;;
Количество прибыльных организаций, единица;;;;;;;;;;
